
ID	S.Time	C.Time	B.Time

1	2654546	2654570	24
2	2654580	2654582	2
3	2654584	2654585	1
4	2654587	2654589	2
5	2654590	2654592	2
6	2654594	2654595	1
11	2654597	2654598	1
12	2654600	2654601	1
13	2654603	2654604	1
14	2654606	2654607	1
15	2654609	2654610	1
16	2654612	2654613	1
17	2654615	2654616	1
18	2654618	2654620	2
19	2654622	2654623	1
20	2654625	2654626	1
21	2654628	2654630	2
22	2654632	2654633	1
24	2654635	2654636	1
25	2654638	2654639	1
27	2654641	2654642	1
28	2654645	2654646	1
29	2654647	2654649	2
30	2654651	2654652	1
31	2654654	2654655	1
32	2654657	2654658	1
33	2654660	2654661	1
34	2654663	2654664	1
35	2654666	2654667	1
36	2654669	2654670	1
37	2654672	2654673	1
38	2654675	2654677	2
39	2654679	2654680	1
40	2654682	2654684	2
42	2654685	2654687	2
43	2654689	2654690	1
44	2654692	2654693	1
45	2654695	2654697	2
46	2654698	2654700	2
47	2654702	2654703	1
48	2654705	2654706	1
49	2654708	2654709	1
54	2654711	2654712	1
55	2654714	2654715	1
62	2654717	2654719	2
64	2654720	2654722	2
68	2654723	2654725	2
107	2654726	2654728	2
110	2659750	2659754	4
140	2659757	2659759	2
141	2659760	2659767	7
213	2659769	2659771	2
215	2659773	2659775	2
216	2659776	2659778	2
299	2659780	2659781	1
402	2659782	2659784	2
403	2659785	2659786	1
404	2659788	2659790	2
557	2659791	2659793	2
558	2659795	2659796	1
559	2659798	2659799	1
560	2659801	2659802	1
567	2659803	2659805	2
568	2659807	2659809	2
569	2659810	2659812	2
572	2659814	2659815	1
576	2659816	2659818	2
578	2659819	2659821	2
584	2659822	2659824	2
632	2659828	2659829	1
646	2659831	2659832	1
648	2659833	2659835	2
714	2659974	2659979	5
716	2659981	2659982	1
769	2659984	2659985	1
1236	2659986	2659988	2
1292	2659990	2659991	1
1306	2659992	2659994	2
1322	2659995	2659996	1
1323	2659998	2659999	1
1369	2660001	2660002	1
1417	2660003	2660005	2
1511	2660006	2660007	1
1519	2660009	2660010	1
1669	2660012	2660013	1
8020	2660014	2660016	2
8030	2660017	2660018	1
10201	2660020	2660021	1
10209	2660170	2660176	6
10210	2660179	2660181	2
10216	2660182	2660184	2
10217	2660185	2660187	2
10218	2660188	2660190	2
10220	2660192	2660194	2
10225	2660195	2660197	2
10229	2660198	2660200	2
10239	2660202	2660203	1
10243	2660205	2660206	1
10247	2660208	2660209	1
10248	2660211	2660213	2
10253	2660214	2660216	2
10262	2660218	2660219	1
10271	2660221	2660223	2
10321	2660225	2660226	1
10336	2660228	2660229	1
10362	2660231	2660232	1
10366	2660234	2660236	2
10370	2660238	2660239	1
10393	2660241	2660243	2
10396	2660244	2660246	2
10405	2660248	2660249	1
10420	2660251	2660252	1
10421	2660254	2660255	1
10423	2660257	2660259	2
10426	2660260	2660262	2
10437	2660264	2660265	1
10442	2660267	2660268	1
10449	2660270	2660271	1
10452	2660273	2660274	1
10458	2660276	2660278	2
10466	2660279	2660281	2
10481	2660282	2660284	2
10502	2660286	2660288	2
10516	2660346	2660401	55
10517	2660404	2660405	1
10527	2660407	2660409	2
10528	2660410	2660412	2
10531	2660414	2660415	1
10533	2660417	2660418	1
10534	2660420	2660421	1
10537	2660423	2660424	1
10539	2660426	2660427	1
10545	2660429	2660431	2
10546	2660432	2660434	2
10549	2660436	2660437	1
10551	2660439	2660440	1
10553	2660442	2660444	2
10554	2660445	2660447	2
10557	2660449	2660450	1
10559	2660452	2660453	1
10565	2660455	2660456	1
10597	2660458	2660459	1
10612	2660461	2660462	1
10614	2660464	2660466	2
10617	2660468	2660469	1
10627	2660471	2660472	1
10629	2660474	2660475	1
10680	2660477	2660479	2
10765	2660480	2660482	2
10789	2660484	2660485	1
10793	2660487	2660488	1
10809	2660490	2660491	1
10820	2660494	2660495	1
11665	2660497	2660498	1
12114	2660500	2660501	1
13046	2660503	2660504	1
22554	2660506	2660508	2
23928	2660509	2660511	2
25375	2660512	2660514	2
25386	2660515	2660517	2
25389	2660519	2660520	1
25392	2660586	2660592	6
26801	2660595	2660597	2
26803	2660598	2660600	2
26859	2660602	2660603	1
26903	2660605	2660607	2
27063	2660608	2660610	2
27179	2660612	2660613	1
27063	2660615	2660616	1
27193	2660618	2660619	1
27224	2660621	2660623	2
27227	2660624	2660626	2
27230	2660627	2660629	2
27404	2660631	2660632	1
27664	2660634	2660635	1
27687	2660637	2660639	2
27729	2660640	2660642	2
27795	2660644	2660645	1
27063	2660647	2660648	1
28449	2660650	2660651	1
28475	2660653	2660655	2
28572	2660656	2660658	2
29126	2660660	2660662	2
29637	2660714	2660718	4
30032	2660720	2660722	2
30060	2660723	2660725	2
30816	2660726	2660728	2
30885	2660730	2660731	1
31057	2660733	2660734	1
31259	2660736	2660737	1
31277	2660739	2660740	1
31510	2660742	2660743	1
31591	2660745	2660746	1
31621	2660748	2660749	1
31848	2660751	2660752	1
31921	2660754	2660755	1
31942	2660757	2660758	1
31955	2660760	2660761	1
31999	2660763	2660764	1
32004	2660766	2660767	1
32005	2660769	2660770	1
0	2660772	2660773	1
